"";"Product_type";"Product_ID";"Prices";"5Stars";"4Stars";"3Stars";"2Stars";"1Stars";"Positive_service_review";"Negative_service_review";"Would_consumer_recomend__product";"Best_seller_rank";"Weigth";"Depth";"Width";"Heigth";"Profit_margin";"Volume";"Relative_Price";"Environment_Impact";"Durability_standard"
"209";"Netbook";330;96,99;25;25;50;0;0;33;3;0,6;6;2,91;"0.25";12,36;10,39;0,19;68;-1,82;1;0,25
"210";"Netbook";331;249,95;37;19;12;9;23;41;40;0,5;1;3,17;"0.71";13,27;8,9;0,19;12;-1,49;1;0,63
"211";"Netbook";332;79,99;0;17;17;0;66;6;26;0,4;0;1,8;"0.21";9,69;8,27;0,14;9;-0,2;1;0,08
"212";"Netbook";333;211,12;40;20;20;0;20;18;10;0,5;0;2,76;"0.94";15,12;10,04;0,17;53;1,98;1;0,55
"213";"Netbook";334;109,19;20;20;0;60;0;28;2;0,6;58;2,87;"1.97";12,6;10,63;0,15;38;-0,34;1;0,07
"214";"Netbook";335;179,95;36;29;7;7;21;38;30;0,4;2;3,97;"0.28";12,99;9,06;0,13;51;0,65;1;0,72
"215";"Netbook";336;99;0;0;0;0;0;0;0;0;0;2;"0.28";13,78;7,87;0,15;42;0,58;0;0,22
"216";"Tablet";337;1319;39;16;13;3;29;66;62;0,5;5;1,69;"0.31";11,5;7,91;0,12;31;-0,8;0;0,97
"217";"Tablet";338;646,96;0;0;0;0;0;0;0;0;0;1,98;"0.39";11,61;7,91;0,13;5;-0,62;1;0,71
"218";"Tablet";339;699;0;0;0;0;0;0;0;0;0;1,53;"0.24";11,42;7,83;0,13;6;0,72;1;0,12
"219";"Tablet";340;949;0;0;0;0;0;0;0;0;0;1,69;"0.31";11,5;7,91;0,13;2;-0,75;0;0,8
"220";"Tablet";341;1087,36;0;0;0;0;0;0;0;0;0;1,53;"0.24";11,42;7,83;0,25;6;0,93;1;0,29
"221";"Tablet";342;179,8;66;20;8;2;4;51;7;0,8;310;1,16;"0.20";10,24;6,3;0,11;67;3,2;1;0,63
"222";"Tablet";343;84,99;48;26;8;7;11;60;8;0,5;77;0,79;"0.38";8,43;5,04;0,1;75;-0,08;1;0,85
"223";"Tablet";344;146,76;59;28;7;4;2;37;2;0,6;89;1;"0.31";9,06;6,3;0,12;86;0,46;1;0,12
"224";"Tablet";345;99,99;62;22;2;6;8;45;6;0,6;164;0,9;"0.35";9,45;6,69;0,18;42;0,79;0;0,36
"225";"Tablet";346;339;56;11;11;0;22;88;7;0,4;83;1,72;"0.35";10,55;7,2;0,13;12;1,06;0;0,74
"226";"Tablet";347;656,49;64;33;1;1;1;77;1;0,8;747;1,76;"0.35";10,28;7,05;0,09;61;-1,44;1;0,96
"227";"Tablet";348;957,77;0;0;0;0;0;0;0;0;0;1,7;"0.31";11,5;7,91;0,15;6;-0,1;1;0,62
"228";"Tablet";349;69,99;49;20;11;7;13;47;13;0,8;99;0,65;"0.38";7,56;4,53;0,19;30;0,54;1;0,97
"229";"Tablet";350;169,99;63;10;14;13;10;63;7;0,6;951;1,23;"0.31";10,31;6,57;0,1;125;1,08;1;0,75
"230";"Tablet";351;258,2;61;25;6;4;4;56;7;0,5;70;1;"0.28";9,45;6,81;0,19;64;-1,16;0;0,42
"231";"Tablet";352;249;61;25;6;4;4;14;2;0,3;66;1;"0.28";9,45;6,81;0,19;22;-2,46;1;0,41
"232";"Smartphone";353;179;1;0;0;0;0;4;1;0,4;6;0,36;"0";2,98;6,12;0,16;38;0,1;1;0,45
"233";"Smartphone";354;289;0;0;0;0;0;0;0;0;0;0;"0.30";2,95;6,2;0,16;30;1,53;1;1
"234";"Smartphone";355;1099;17;0;0;0;1;96;1;0,8;121;0,38;"0.30";2,79;5,65;0,15;944;0,77;0;0,85
"235";"Smartphone";356;199;29;13;2;2;0;46;0;0,9;34;0,4;"0.31";2,91;6;0,15;13;-0,03;0;0,93
"236";"Smartphone";357;291;0;0;0;0;0;0;0;0;0;0,32;"0.58";2,8;2,93;0,14;25;1,7;0;0,68
"237";"Smartphone";358;232;1;1;0;0;0;8;0;0,7;4;0;"0";3,15;6,3;0,15;13;-0,82;1;0,49
"238";"Smartphone";359;1263;207;136;14;4;7;65;0;0,9;68;0,28;"0.27";2,64;5,43;0,15;25;0,91;1;0,62
"239";"Game Console";360;109;2;2;0;0;0;4;0;0,4;0;3,31;"0.5";8,18;6,26;0,19;10;0,99;1;0,3
"240";"Game Console";361;399;0;0;0;0;0;0;0;0,9;989;4,63;"11.34";10,43;11,34;0,18;627;-1,87;1;0,42
"241";"Game Console";362;319;40;26;0;0;1;26;1;0,5;10;0,65;"0.55";9,41;4,02;0,2;18;0,49;1;0,29
"242";"Game Console";363;56,99;27;6;3;0;1;33;1;0,7;97;0;"0";0;0;0,16;0;-0,18;1;0,78
"243";"Game Console";364;74,99;124;55;7;3;0;41;0;0,6;56;1,72;"2.83";7,87;9,45;0,05;140;1,98;0;0,88
"244";"Game Console";365;323;0;1;0;0;0;9;0;0,5;49;6,39;"2.52";11,61;9,06;0,09;498;0,37;0;0,66
"245";"Game Console";366;64,99;1;4;0;0;0;9;0;0,6;23;0;"0";0;0;0,24;6;0,51;0;0,37
